;Characteristic1;Characteristic2;Characteristic3;Characteristic4;Characteristic5;Characteristic6;Characteristic7;Characteristic8;Characteristic9;Characteristic10;#;User 1;User 2
Item1;1;0;1;0;1;1;0;0;0;1;#;1;-1
Item2;0;1;1;1;0;0;0;1;0;0;#;-1;1
Item3;0;0;0;1;1;1;0;0;0;0;#;;
Item4;0;0;1;1;0;0;1;1;0;0;#;;1
Item5;0;1;0;0;0;0;0;0;1;1;#;;
Item6;1;0;0;1;0;0;0;0;0;0;#;1;
Item7;0;0;0;0;0;0;0;1;0;1;#;;
Item8;0;0;1;1;0;0;1;0;0;1;#;;
Item9;0;0;0;0;0;1;0;0;1;0;#;;
Item10;0;1;0;0;1;0;1;0;0;0;#;;
Item11;0;0;1;0;1;0;0;0;1;0;#;;
Item12;1;0;0;0;0;1;1;0;0;0;#;;-1
Item13;0;0;1;1;1;0;0;1;0;0;#;;
Item14;0;1;1;1;0;0;0;0;1;0;#;;
Item15;0;0;0;1;0;1;1;1;0;0;#;;
Item16;1;0;0;0;0;1;0;0;1;0;#;1;
Item17;0;1;1;1;0;0;0;1;0;0;#;;1
Item18;0;0;0;1;0;0;0;0;1;0;#;;
Item19;0;1;1;0;1;0;1;0;0;1;#;-1;
Item20;0;0;1;1;0;0;1;0;1;0;#;1;-1
Item21;1;0;0;1;0;0;0;0;0;0;#;-1;1
Item22;0;0;0;0;0;0;0;1;0;1;#;;
Item23;0;0;1;1;0;0;1;0;0;1;#;;1
Item24;0;0;0;0;0;1;0;0;1;0;#;;
Item25;0;1;0;0;1;0;1;0;0;0;#;1;
Item26;0;0;1;0;1;0;0;0;1;0;#;1;
Item27;1;0;0;0;0;1;1;0;0;0;#;;1
Item28;0;0;1;1;1;0;0;1;0;0;#;;
Item29;0;1;1;1;0;0;0;0;1;0;#;-1;
Item30;0;0;0;1;0;1;1;1;0;0;#;1;-1
Item31;1;0;0;0;0;1;0;0;1;0;#;1;
Item32;0;1;1;1;0;0;0;1;0;0;#;;1
Item33;0;0;0;1;0;1;1;1;0;0;#;;
Item34;1;0;0;0;0;1;0;0;1;0;#;-1;
